epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1889.5,0.75586,4.88909,0.76077,0.6461,1.28694,0.87538,0.89211,0.92869,0.51544,0.58658,0.545,0.40862,0.12739,1.08353,5.52905,0.65652,0.85456,1.40886,0.0092608,0.00603681,0.00603681
62,1917.27,0.75212,4.8731,0.76174,0.65535,1.28548,0.91592,0.91509,0.94999,0.52227,0.60584,0.609,0.46542,0.14409,1.09674,5.27222,0.65314,0.79176,1.37682,0.00923616,0.00612328,0.00612328
63,1945.03,0.74889,4.9423,0.76081,0.64366,1.28074,0.90673,0.912,0.95433,0.56914,0.645,0.609,0.48815,0.1535,1.00388,5.28614,0.65591,0.77461,1.30871,0.00921111,0.00620934,0.00620934
64,1973.36,0.74788,4.84734,0.75557,0.63355,1.27129,0.90152,0.897,0.94021,0.48692,0.62658,0.603,0.48956,0.155,1.22326,5.39823,0.65976,0.89703,1.52897,0.00918566,0.006295,0.006295
65,2001.91,0.73934,4.92822,0.76184,0.63132,1.27101,0.90392,0.904,0.95116,0.50175,0.64227,0.57991,0.49656,0.15733,1.15895,5.35214,0.6624,0.83877,1.43541,0.0091598,0.00638026,0.00638026
66,2042.14,0.73259,4.8258,0.76113,0.62947,1.26708,0.90404,0.922,0.95606,0.5909,0.63508,0.61,0.51137,0.16338,0.94212,5.2719,0.66254,0.75174,1.25361,0.00913354,0.00646511,0.00646511
67,2070.26,0.73669,4.80752,0.76053,0.61896,1.27003,0.90267,0.918,0.95243,0.54914,0.63199,0.61651,0.51234,0.15975,1.01093,5.31054,0.66037,0.77768,1.31802,0.00910688,0.00654956,0.00654956
68,2098.92,0.74373,4.75309,0.75416,0.6334,1.26847,0.90517,0.903,0.95517,0.53545,0.65765,0.61664,0.52418,0.15937,1.03068,5.23116,0.65542,0.80921,1.33465,0.00907981,0.0066336,0.0066336
69,2127.46,0.72827,4.72988,0.7568,0.61986,1.25706,0.91719,0.89711,0.95509,0.58203,0.66391,0.609,0.51776,0.16732,0.97206,5.21637,0.65653,0.75186,1.27632,0.00905234,0.00671724,0.00671724
70,2156.02,0.72968,4.66422,0.75735,0.61077,1.25396,0.91466,0.93241,0.95861,0.54077,0.67856,0.64173,0.555,0.18499,1.05175,5.05018,0.65352,0.75278,1.31564,0.00902446,0.00680048,0.00680048
71,2184.55,0.72266,4.68893,0.75224,0.61676,1.24719,0.91413,0.918,0.95966,0.56435,0.65496,0.64539,0.55324,0.18101,0.98517,5.18299,0.6582,0.74134,1.28295,0.00899618,0.00688331,0.00688331
72,2227.14,0.73017,4.64967,0.75188,0.60915,1.2519,0.90899,0.925,0.9564,0.51449,0.65914,0.62266,0.51548,0.16875,1.18728,5.14963,0.65384,0.79317,1.4587,0.0089675,0.00696574,0.00696574
73,2255.74,0.72911,4.66452,0.75411,0.61401,1.24916,0.91095,0.93089,0.96104,0.5914,0.68812,0.66632,0.57587,0.19371,0.94514,4.87999,0.65074,0.69657,1.24332,0.00893841,0.00704776,0.00704776
74,2283.3,0.71693,4.62218,0.75013,0.60175,1.24766,0.9254,0.93035,0.96293,0.53133,0.67938,0.65474,0.54932,0.18401,1.07047,5.04452,0.65195,0.75314,1.34221,0.00890892,0.00712938,0.00712938
75,2311.13,0.72284,4.61225,0.7539,0.60481,1.24881,0.91924,0.929,0.96654,0.5204,0.67349,0.669,0.56248,0.18302,1.09071,4.85635,0.65451,0.76876,1.37025,0.00887903,0.00721059,0.00721059
76,2339.39,0.71267,4.59682,0.74879,0.60263,1.24035,0.90612,0.87831,0.93376,0.46075,0.66312,0.621,0.51836,0.17196,1.299,5.16977,0.65149,0.92245,1.55973,0.00884873,0.00729141,0.00729141
77,2367.69,0.71466,4.5693,0.75343,0.60082,1.23449,0.94463,0.939,0.97778,0.58029,0.73949,0.685,0.61359,0.21119,0.98267,4.78551,0.64907,0.6925,1.24792,0.00881802,0.00737181,0.00737181
78,2405.94,0.70968,4.52988,0.7497,0.58952,1.23545,0.92651,0.93299,0.97146,0.52741,0.71356,0.66514,0.59479,0.21629,1.11276,4.85877,0.64691,0.76985,1.38022,0.00878691,0.00745182,0.00745182
79,2435.19,0.71904,4.5401,0.7486,0.59933,1.2374,0.94177,0.93806,0.97628,0.57222,0.71547,0.681,0.60968,0.21785,1.00802,4.7803,0.64754,0.70827,1.28565,0.0087554,0.00753142,0.00753142
80,2463.68,0.70512,4.60818,0.74703,0.59004,1.22792,0.93178,0.93,0.96477,0.57716,0.71185,0.68,0.59489,0.19979,1.03781,4.83252,0.64921,0.70449,1.3078,0.00872349,0.00761061,0.00761061
81,2492.42,0.7136,4.55329,0.74639,0.5924,1.2313,0.92048,0.939,0.97547,0.58345,0.71867,0.683,0.61211,0.217,0.98034,4.74928,0.64462,0.71394,1.25218,0.00869117,0.0076894,0.0076894
82,2520.49,0.70695,4.50517,0.74302,0.58002,1.23047,0.94373,0.924,0.96796,0.60016,0.72288,0.689,0.6226,0.21717,0.94935,4.75645,0.64327,0.66301,1.23419,0.00865844,0.00776779,0.00776779
83,2548.68,0.70534,4.53673,0.74722,0.58545,1.22737,0.94686,0.939,0.96897,0.58115,0.69891,0.681,0.58644,0.21359,0.98023,4.78191,0.64237,0.67609,1.24163,0.00862531,0.00784577,0.00784577
84,2588.45,0.71976,4.54428,0.74701,0.58786,1.2411,0.93616,0.9385,0.97317,0.59993,0.72809,0.69354,0.61053,0.21278,0.91083,4.73711,0.63996,0.66187,1.2039,0.00859178,0.00792335,0.00792335
85,2616.92,0.70712,4.51233,0.74637,0.57453,1.22336,0.91455,0.93114,0.96624,0.57605,0.7153,0.686,0.59447,0.20527,0.97117,4.77193,0.64373,0.68169,1.24793,0.00855785,0.00800053,0.00800053
86,2644.24,0.70356,4.45662,0.74304,0.57475,1.22434,0.92904,0.939,0.97206,0.59039,0.72466,0.712,0.6249,0.21519,0.97917,4.63835,0.63818,0.70678,1.26077,0.0085235,0.0080773,0.0080773
87,2672.53,0.70681,4.44667,0.74705,0.57892,1.2229,0.93297,0.94642,0.97531,0.56954,0.73158,0.72499,0.64032,0.22571,0.99787,4.61477,0.63908,0.67715,1.25204,0.00848876,0.00815366,0.00815366
88,2700.71,0.70042,4.45202,0.74327,0.57405,1.21885,0.92649,0.94532,0.96531,0.5593,0.72048,0.693,0.61599,0.2116,1.09646,4.72213,0.64187,0.73782,1.36526,0.00845361,0.00822963,0.00822963
89,2728.52,0.70314,4.41569,0.74141,0.58286,1.21583,0.93871,0.94957,0.97634,0.60557,0.71278,0.688,0.60748,0.21548,0.94526,4.68705,0.63705,0.67512,1.22023,0.00841806,0.00830519,0.00830519
90,2766.07,0.7043,4.34943,0.74159,0.57884,1.22013,0.93954,0.943,0.97239,0.58024,0.72998,0.71372,0.62808,0.22025,1.03807,4.63698,0.63513,0.72554,1.31465,0.0083821,0.00838034,0.00838034
91,2794.1,0.69385,4.37321,0.74212,0.56216,1.21807,0.96021,0.947,0.97748,0.58558,0.74072,0.714,0.64879,0.24305,0.99225,4.58326,0.63756,0.6477,1.24597,0.00836364,0.00836364,0.00836364
92,2822.18,0.70815,4.36554,0.7363,0.56393,1.21871,0.92612,0.94015,0.97203,0.57993,0.72469,0.706,0.60982,0.22096,1.0374,4.71412,0.63956,0.69765,1.30737,0.00834545,0.00834545,0.00834545
93,2851.2,0.69468,4.29683,0.73662,0.56486,1.21151,0.94397,0.947,0.97922,0.61263,0.72631,0.704,0.6218,0.2353,0.89739,4.55801,0.6331,0.64667,1.17881,0.00832727,0.00832727,0.00832727
94,2879.59,0.69111,4.29132,0.73685,0.55721,1.20881,0.92791,0.96537,0.97846,0.60152,0.73915,0.729,0.65073,0.23552,0.91919,4.4378,0.63282,0.64031,1.1993,0.00830909,0.00830909,0.00830909
95,2907.94,0.69717,4.28544,0.73738,0.55978,1.21191,0.93535,0.958,0.97632,0.58207,0.72718,0.70901,0.63276,0.23457,0.97514,4.48842,0.63018,0.66727,1.24425,0.00829091,0.00829091,0.00829091
96,2949.62,0.68474,4.25623,0.73495,0.55215,1.20503,0.94749,0.944,0.97934,0.60698,0.73103,0.7148,0.61985,0.22627,0.90433,4.48732,0.63142,0.64463,1.17682,0.00827273,0.00827273,0.00827273
97,2977.96,0.67519,4.21612,0.72987,0.54083,1.19357,0.94842,0.955,0.98097,0.59628,0.742,0.738,0.66766,0.2484,0.95752,4.45991,0.63203,0.64426,1.22114,0.00825455,0.00825455,0.00825455
98,3005.31,0.67419,4.23479,0.72759,0.54694,1.19591,0.94434,0.958,0.97948,0.56955,0.76118,0.738,0.66808,0.25967,1.02685,4.42609,0.62594,0.66008,1.26271,0.00823636,0.00823636,0.00823636
99,3032.48,0.68004,4.21316,0.72904,0.54009,1.19486,0.94605,0.94696,0.98002,0.61407,0.76799,0.743,0.66885,0.25578,0.91947,4.37545,0.63184,0.63275,1.19115,0.00821818,0.00821818,0.00821818
100,3060.47,0.67238,4.19917,0.72736,0.53994,1.19424,0.94943,0.95755,0.98169,0.62459,0.76908,0.741,0.66151,0.25885,0.87396,4.35341,0.6301,0.62648,1.15682,0.0082,0.0082,0.0082
101,3088.88,0.6697,4.1735,0.73039,0.52818,1.18654,0.95554,0.96709,0.98271,0.57902,0.75077,0.732,0.65848,0.2663,1.02079,4.33423,0.62612,0.64945,1.25408,0.00818182,0.00818182,0.00818182
102,3127.92,0.6914,4.10897,0.72806,0.53338,1.20086,0.95797,0.961,0.97813,0.59695,0.76876,0.767,0.69628,0.27033,0.97732,4.24509,0.62257,0.63229,1.22457,0.00816364,0.00816364,0.00816364
103,3156.21,0.67711,4.11562,0.72119,0.53755,1.18797,0.94301,0.955,0.97711,0.60751,0.75976,0.751,0.66989,0.26261,0.91895,4.24975,0.62206,0.62631,1.18199,0.00814545,0.00814545,0.00814545
104,3184.82,0.66179,4.09641,0.72742,0.53282,1.18501,0.95846,0.961,0.9831,0.63217,0.76018,0.752,0.66765,0.25768,0.87099,4.2649,0.62163,0.61001,1.15533,0.00812727,0.00812727,0.00812727
105,3213.43,0.66509,4.03232,0.72284,0.51357,1.17838,0.96207,0.962,0.9817,0.60378,0.77101,0.75759,0.67438,0.26561,0.9741,4.21185,0.62125,0.63688,1.2292,0.00810909,0.00810909,0.00810909
106,3241.11,0.66128,4.05573,0.72418,0.51777,1.18247,0.94276,0.968,0.98125,0.62218,0.74942,0.754,0.66565,0.26259,0.89099,4.21861,0.6213,0.60769,1.17095,0.00809091,0.00809091,0.00809091
107,3269.36,0.66066,4.06467,0.71982,0.51685,1.17758,0.95239,0.96016,0.98106,0.60278,0.77034,0.76812,0.69385,0.27656,0.9446,4.14625,0.61665,0.606,1.19942,0.00807273,0.00807273,0.00807273
108,3309.8,0.66043,4.03679,0.72202,0.52234,1.17965,0.94808,0.967,0.98299,0.63692,0.78547,0.768,0.70098,0.27999,0.85457,4.13586,0.618,0.59269,1.14077,0.00805455,0.00805455,0.00805455
109,3337.52,0.65093,3.945,0.71922,0.51046,1.16825,0.95148,0.966,0.98623,0.63438,0.78721,0.776,0.71179,0.29595,0.86626,4.0986,0.61561,0.60018,1.14811,0.00803636,0.00803636,0.00803636
110,3364.76,0.65932,3.98282,0.72051,0.51209,1.17178,0.95727,0.96333,0.9868,0.64046,0.78887,0.765,0.7016,0.28526,0.85137,4.1094,0.61493,0.58672,1.13551,0.00801818,0.00801818,0.00801818
111,3392.29,0.65507,4.01952,0.72263,0.51904,1.16749,0.95696,0.959,0.98362,0.65152,0.76577,0.764,0.68063,0.28122,0.82331,4.13551,0.61745,0.5812,1.11455,0.008,0.008,0.008
112,3420.23,0.6462,3.95822,0.71585,0.50074,1.1586,0.95877,0.97676,0.9885,0.62474,0.78269,0.779,0.70147,0.29043,0.90528,4.07508,0.61212,0.57306,1.15971,0.00798182,0.00798182,0.00798182
113,3448.62,0.65207,3.98122,0.71573,0.50725,1.16926,0.95862,0.97304,0.98907,0.65617,0.76742,0.777,0.68261,0.28401,0.82524,4.07055,0.6143,0.57268,1.1207,0.00796364,0.00796364,0.00796364
