epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2136.58,0.88261,6.48242,0.76028,0.75477,1.62108,0.9106,0.926,0.96501,0.61686,0.53987,0.51038,0.3808,0.11256,0.8615,5.95911,0.68158,0.68593,1.62968,0.00590041,0.00590041,0.00590041
43,2186.46,0.87308,6.41948,0.7605,0.74914,1.6086,0.92197,0.93345,0.96872,0.61702,0.55053,0.518,0.40292,0.11753,0.86186,5.89622,0.682,0.66282,1.63055,0.00580042,0.00580042,0.00580042
44,2236.72,0.87421,6.37679,0.75974,0.73663,1.61284,0.91137,0.925,0.96993,0.62258,0.57258,0.524,0.41341,0.12192,0.85698,5.86799,0.68131,0.6701,1.61693,0.00570043,0.00570043,0.00570043
45,2286.57,0.87127,6.3393,0.75865,0.73451,1.60493,0.93115,0.91961,0.97004,0.62784,0.55574,0.53039,0.41054,0.11991,0.85463,5.82592,0.68156,0.66378,1.61533,0.00560044,0.00560044,0.00560044
46,2336.59,0.86866,6.3295,0.75631,0.72575,1.60424,0.92691,0.92576,0.97095,0.62663,0.58055,0.514,0.40522,0.12501,0.85244,5.78798,0.67953,0.65963,1.61157,0.00550045,0.00550045,0.00550045
47,2386.73,0.86876,6.25655,0.75588,0.72075,1.60373,0.92539,0.93019,0.96941,0.62798,0.57188,0.547,0.42725,0.12928,0.85252,5.74123,0.6779,0.64972,1.61198,0.00540046,0.00540046,0.00540046
48,2436.7,0.85804,6.22529,0.7563,0.70854,1.59172,0.93432,0.938,0.97393,0.63668,0.57203,0.555,0.43581,0.13622,0.84957,5.71459,0.67887,0.63299,1.6061,0.00530047,0.00530047,0.00530047
49,2486.82,0.85825,6.16318,0.75204,0.70831,1.58784,0.9203,0.942,0.97073,0.64138,0.58327,0.535,0.42551,0.13313,0.83359,5.69964,0.6749,0.63643,1.58419,0.00520048,0.00520048,0.00520048
50,2536.77,0.84818,6.18367,0.75511,0.69599,1.57612,0.92878,0.92594,0.96912,0.63786,0.59918,0.542,0.44278,0.13796,0.83764,5.63937,0.68001,0.63415,1.58592,0.00510049,0.00510049,0.00510049
51,2586.78,0.84205,6.10324,0.75562,0.68975,1.57858,0.92767,0.93621,0.97276,0.63698,0.58077,0.576,0.45718,0.14363,0.8335,5.59435,0.67778,0.64032,1.57386,0.0050005,0.0050005,0.0050005
52,2636.6,0.83987,6.09411,0.75288,0.69434,1.56836,0.94044,0.93153,0.97096,0.63823,0.59229,0.55349,0.44438,0.146,0.82607,5.57721,0.67684,0.62948,1.58045,0.00490051,0.00490051,0.00490051
53,2686.34,0.83722,6.01848,0.74919,0.68076,1.56168,0.92877,0.941,0.97552,0.64382,0.59587,0.57,0.46401,0.15061,0.83045,5.56302,0.67637,0.63315,1.56023,0.00480052,0.00480052,0.00480052
54,2736.3,0.83297,5.99797,0.74873,0.68153,1.55196,0.94298,0.92605,0.97433,0.64754,0.62153,0.572,0.48349,0.15592,0.81812,5.52604,0.67219,0.62584,1.55274,0.00470053,0.00470053,0.00470053
55,2786.24,0.83169,5.95629,0.74734,0.67568,1.55647,0.92813,0.937,0.9734,0.6479,0.61638,0.588,0.49242,0.15606,0.81894,5.48815,0.67087,0.62289,1.55049,0.00460054,0.00460054,0.00460054
56,2836.2,0.8279,5.95934,0.75227,0.6691,1.54727,0.93643,0.94283,0.97289,0.64962,0.61446,0.589,0.49164,0.16101,0.81166,5.43614,0.67098,0.6152,1.54485,0.00450055,0.00450055,0.00450055
57,2886.19,0.81699,5.91866,0.74893,0.66897,1.54091,0.94599,0.942,0.97916,0.65117,0.61385,0.58976,0.49003,0.15976,0.80884,5.43681,0.67002,0.60807,1.54224,0.00440056,0.00440056,0.00440056
58,2936.05,0.81804,5.87014,0.74724,0.66453,1.53763,0.93603,0.947,0.9771,0.65276,0.61565,0.601,0.49807,0.16407,0.81491,5.39688,0.67063,0.61205,1.55055,0.00430057,0.00430057,0.00430057
59,2986.04,0.81208,5.82696,0.74809,0.65772,1.53351,0.93291,0.939,0.97911,0.64796,0.63156,0.601,0.49984,0.16562,0.81478,5.37587,0.67003,0.6164,1.54343,0.00420058,0.00420058,0.00420058
60,3036.01,0.80895,5.75925,0.74466,0.64473,1.52633,0.93313,0.94897,0.97695,0.65331,0.61168,0.60645,0.50428,0.17317,0.81219,5.36661,0.66951,0.60103,1.53798,0.00410059,0.00410059,0.00410059
61,3086.37,0.80361,5.72878,0.74827,0.64898,1.52285,0.93986,0.95325,0.97888,0.65435,0.62353,0.602,0.50012,0.17077,0.80966,5.34819,0.66787,0.60005,1.54004,0.0040006,0.0040006,0.0040006
62,3136.16,0.80049,5.71105,0.74537,0.63994,1.51972,0.9279,0.96519,0.98014,0.65876,0.65006,0.625,0.52557,0.1738,0.80799,5.31753,0.66691,0.5976,1.53213,0.00390061,0.00390061,0.00390061
63,3186.15,0.79889,5.66692,0.74643,0.63874,1.51227,0.94493,0.958,0.98127,0.66124,0.63624,0.615,0.5207,0.17472,0.80883,5.29076,0.66627,0.58815,1.5324,0.00380062,0.00380062,0.00380062
64,3236.09,0.79264,5.64586,0.73844,0.63642,1.49841,0.93431,0.959,0.98136,0.66058,0.6319,0.601,0.50962,0.17511,0.80184,5.26922,0.66717,0.59608,1.52559,0.00370063,0.00370063,0.00370063
65,3285.83,0.78824,5.64969,0.74711,0.631,1.50457,0.93142,0.961,0.98167,0.66037,0.63454,0.603,0.51426,0.1745,0.80112,5.25155,0.66524,0.59963,1.52646,0.00360064,0.00360064,0.00360064
66,3335.53,0.78638,5.61935,0.74531,0.62716,1.50555,0.94929,0.949,0.98264,0.66438,0.634,0.615,0.51875,0.17404,0.80167,5.22897,0.6649,0.59233,1.52547,0.00350065,0.00350065,0.00350065
67,3385.48,0.78613,5.58849,0.74451,0.62469,1.49739,0.95383,0.95028,0.98304,0.66509,0.64285,0.60839,0.52143,0.17398,0.79826,5.21489,0.66641,0.58686,1.51871,0.00340066,0.00340066,0.00340066
68,3435.86,0.78043,5.55382,0.7416,0.6245,1.49035,0.94758,0.9581,0.9822,0.66412,0.66648,0.616,0.53712,0.17787,0.80066,5.18253,0.6639,0.58882,1.52035,0.00330067,0.00330067,0.00330067
69,3485.73,0.77939,5.51635,0.73864,0.61434,1.48943,0.94722,0.95121,0.98214,0.66499,0.66147,0.624,0.53088,0.17724,0.80105,5.16343,0.66417,0.58447,1.52429,0.00320068,0.00320068,0.00320068
70,3535.53,0.77359,5.50576,0.741,0.60758,1.48093,0.95098,0.954,0.98346,0.66145,0.66104,0.62,0.53041,0.17822,0.79526,5.14778,0.66353,0.58082,1.51489,0.00310069,0.00310069,0.00310069
71,3585.49,0.77109,5.45279,0.73761,0.61005,1.47556,0.94466,0.95599,0.98075,0.66458,0.6586,0.631,0.53922,0.17983,0.7911,5.15358,0.66286,0.57733,1.51033,0.0030007,0.0030007,0.0030007
72,3635.2,0.76839,5.43279,0.73593,0.61152,1.47615,0.94951,0.95919,0.97882,0.66527,0.65426,0.63582,0.53375,0.17865,0.792,5.13419,0.66202,0.58318,1.51079,0.00290071,0.00290071,0.00290071
73,3685.16,0.7607,5.40511,0.73864,0.60648,1.46327,0.95212,0.956,0.98207,0.66683,0.65215,0.638,0.53523,0.17679,0.79185,5.13196,0.66208,0.58342,1.50747,0.00280072,0.00280072,0.00280072
74,3734.85,0.7619,5.36272,0.73678,0.60056,1.47093,0.9512,0.95506,0.98176,0.66731,0.65019,0.65053,0.54187,0.17975,0.787,5.11764,0.66175,0.57651,1.50512,0.00270073,0.00270073,0.00270073
75,3784.93,0.76164,5.33597,0.73796,0.60177,1.4669,0.95025,0.95496,0.98001,0.66833,0.64718,0.64383,0.5346,0.18113,0.78603,5.09871,0.66017,0.57612,1.50504,0.00260074,0.00260074,0.00260074
76,3835.06,0.75384,5.29887,0.73676,0.59234,1.46104,0.94561,0.95626,0.9803,0.67088,0.66103,0.647,0.55113,0.18624,0.77756,5.07509,0.66032,0.5736,1.49498,0.00250075,0.00250075,0.00250075
77,3885.09,0.75338,5.29771,0.73454,0.59029,1.45549,0.94821,0.95198,0.98105,0.66952,0.65508,0.646,0.54285,0.18551,0.78105,5.06119,0.6601,0.57193,1.49708,0.00240076,0.00240076,0.00240076
78,3935.02,0.74363,5.27712,0.73712,0.58409,1.44921,0.94639,0.95,0.98257,0.66982,0.65312,0.643,0.54139,0.18849,0.78359,5.04679,0.65995,0.57126,1.49919,0.00230077,0.00230077,0.00230077
79,3984.93,0.74441,5.22892,0.73303,0.58219,1.4451,0.95188,0.953,0.98391,0.67291,0.65095,0.642,0.54088,0.1888,0.78347,5.02989,0.65952,0.57141,1.4971,0.00220078,0.00220078,0.00220078
80,4035.08,0.74568,5.22254,0.73595,0.58076,1.44807,0.94876,0.953,0.98221,0.67306,0.66818,0.639,0.558,0.19018,0.78083,5.02429,0.6587,0.57065,1.49497,0.00210079,0.00210079,0.00210079
81,4084.91,0.73899,5.19673,0.73413,0.5792,1.43732,0.94526,0.954,0.98328,0.67403,0.65725,0.652,0.55449,0.19024,0.77911,5.01411,0.65879,0.56832,1.49265,0.0020008,0.0020008,0.0020008
82,4134.86,0.74402,5.14015,0.72846,0.57712,1.44412,0.94312,0.96176,0.98474,0.67782,0.65821,0.653,0.54963,0.18988,0.77674,5.01198,0.65913,0.56334,1.48883,0.00190081,0.00190081,0.00190081
